,set_num,name_x,year,num_parts,theme_name,id,parent_theme,is_licensed
711,6338-1,Hurricane Harbor,1995,,Coast Guard,50,Town,False
712,6339-1,Shuttle Launch Pad,1995,,Launch Command,50,Town,False
713,6340-1,Hook & Ladder,1994,177.0,Fire,50,Town,False
714,6341-1,Gas N' Go Flyer,1994,106.0,Airport,50,Town,False
715,6342-1,Beach Rescue Chopper,1993,,Coast Guard,50,Town,False
716,6344-1,Jet Speed Justice,1993,,Police,50,Town,False
717,6345-1,Aerial Acrobats,1993,350.0,Airport,50,Town,False
718,6346-1,Shuttle Launching Crew,1992,413.0,Airport,50,Town,False
719,6347-1,Monorail Accessory Track,1991,,Supplemental,50,Town,False
720,6348-1,Surveillance Squad,1994,318.0,Police,50,Town,False
721,6349-1,Vacation House,1988,215.0,Building,50,Town,False
722,6350-1,Pizza To Go,1994,150.0,Food & Drink,50,Town,False
723,6351-1,Surf N' Sail Camper,1992,190.0,Recreation,50,Town,False
724,6352-1,Cargomaster Crane,1991,141.0,Construction,50,Town,False
725,6353-1,Coastal Cutter,1991,184.0,Coast Guard,50,Town,False
726,6354-1,Pursuit Squad,1990,175.0,Police,50,Town,False
727,6355-1,Derby Trotter,1989,,Recreation,50,Town,False
728,6356-1,Med-Star Rescue Plane,1988,160.0,Hospital,50,Town,False
729,6357-1,Stunt 'Copter N' Truck,1988,,Traffic,50,Town,False
